EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
1547002;1;01/04/2013;1;;;;;0;0;0;;0;"26,4";"0,0";"4,6";"0,0";"0,0";"0,0";"5,8";"16,6";"22,4";"0,0";"23,2";"0,0";"0,0";"0,0";"0,0";"0,0";"17,4";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0
1547002;1;01/03/2013;1;"31,6";"144,8";21;8;1;1;1;;0;"0,0";"0,0";"16,6";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"29,8";"0,0";"0,0";"0,0";"0,0";"0,0";"13,6";"31,6";"0,0";"0,0";"16,5";"0,0";"19,8";"4,3";"0,0";"12,6";"0,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1547002;1;01/02/2013;1;"33,4";"129,0";1;10;1;1;1;;0;"33,4";"5,6";"0,0";"13,9";"13,4";"6,9";"1,2";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"21,2";"6,4";"2,3";"24,7";;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
1547002;1;01/01/2013;1;"72,3";"408,2";10;20;1;1;1;;0;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"72,3";"18,7";"5,6";"17,2";"27,7";"12,3";"41,0";"0,0";"7,2";"5,9";"0,0";"8,5";"31,2";"48,9";"8,6";"32,4";"6,3";"8,6";"10,3";"16,7";"23,3";"5,5";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1547002;2;01/12/2012;1;"23,8";"137,5";15;16;1;1;1;;0;"0,0";"5,9";"3,1";"0,0";"6,7";"10,2";"0,0";"3,5";"0,0";"0,0";"21,6";"0,0";"5,6";"9,8";"23,8";"5,7";"0,0";"0,0";"8,2";"6,7";"0,0";"9,6";"7,2";"0,0";"0,0";"0,0";"0,0";"3,2";"6,7";"0,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1547002;1;01/12/2012;1;"23,8";"137,5";15;16;1;1;1;;0;"0,0";"5,9";"3,1";"0,0";"6,7";"10,2";"0,0";"3,5";"0,0";"0,0";"21,6";"0,0";"5,6";"9,8";"23,8";"5,7";"0,0";"0,0";"8,2";"6,7";"0,0";"9,6";"7,2";"0,0";"0,0";"0,0";"0,0";"3,2";"6,7";"0,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1547002;2;01/11/2012;1;"67,5";"344,5";21;21;1;1;1;;0;"23,6";"7,5";"0,0";"0,0";"1,8";"37,6";"3,5";"5,5";"19,5";"16,3";"0,0";"49,4";"0,0";"19,3";"0,0";"3,2";"0,0";"0,0";"5,8";"4,2";"67,5";"0,0";"0,0";"7,3";"5,6";"38,9";"4,3";"11,8";"4,4";"7,5";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
1547002;1;01/11/2012;1;"67,5";"344,5";21;21;1;1;1;;0;"23,6";"7,5";"0,0";"0,0";"1,8";"37,6";"3,5";"5,5";"19,5";"16,3";"0,0";"49,4";"0,0";"19,3";"0,0";"3,2";"0,0";"0,0";"5,8";"4,2";"67,5";"0,0";"0,0";"7,3";"5,6";"38,9";"4,3";"11,8";"4,4";"7,5";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
1547002;2;01/10/2012;1;"48,3";"57,6";17;3;1;1;1;;0;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"6,3";"48,3";"0,0";"0,0";"0,0";"0,0";"0,0";"3,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
1547002;1;01/10/2012;1;"48,3";"57,6";17;3;1;1;1;;0;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"6,3";"48,3";"0,0";"0,0";"0,0";"0,0";"0,0";"3,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
